Group,Parameter,Value,Unit,Source,Confidence,Note
Cell,P.DCIR_EndOfLife_Ohm,"0.019",Ohm,PUBLISHED_TEST,3,"Independent bench testing measured units at or below 19 mOhm. Use as a conservative aged-cell value."
Motor,P.Width_m,"0.3",m,DATASHEET,2,""
Motor,P.ShaftLength_m,"0.5",m,DATASHEET,2,"Customisable subject to MOQ."
Motor,P.PropellerType,"Counter-rotating",-,DATASHEET,2,""
Motor,P.NominalPower_W,"26900",W,DATASHEET,2,"Quoted as 26.9 kW (40 HP) at the outboard output."
Motor,P.MaximumTorque_Nm,"100",N*m,DATASHEET,2,""
Motor,P.MaximumPower_W,"42000",W,DATASHEET,2,"Peak. Datasheet notes the inverter must be rated for higher current to reach full output power."
Motor,P.Mass_kg,"25",kg,DATASHEET,2,"Outboard unit only. Trim assembly adds 10 kg."
Motor,P.Length_m,"0.8",m,DATASHEET,2,""
Motor,P.Depth_m,"0.21",m,DATASHEET,2,""
Motor,P.CoolingType,"Water",-,DATASHEET,2,"Datasheet: motor is water cooled. Note that the Competr stock BATTERY is passively cooled -- these are separate circuits."
Motor,P.BusNominalVoltage_V,"96",V,DATASHEET,2,"Competr stock pack nominal. P50B 26S gives 93.6 V."
Motor,P.BusMaximumVoltage_V,"109",V,DATASHEET,2,"At 100% SoC. Equals 26 x 4.2 V exactly."
Motor,P.BusMaximumCurrent_A,"375",A,DATASHEET,2,"Continuous. This is the busbar sizing driver, not the 267 A that the Monaco 25 kW limit implies."
Inverter,P.PositionSensorType,"SSI absolute encoder",-,DATASHEET,2,"Datasheet section 12.1. Differential CLK+/- and DATA+/- on shielded twisted pair, 5 V supply."
Inverter,P.MotorTempSensorType,"Analog PTC",-,DATASHEET,2,"Datasheet section 12.1, twisted pair to inverter pins 7 and 1."
Inverter,P.DCCurrentContinuous_A,"375",A,DATASHEET,2,"Competr datasheet maximum continuous battery current."
Cell,P.TempCutOff_C,"70",degC,DATASHEET,2,"Datasheet 60 A rating is quoted to a 70 degC cut-off."
Cell,P.NominalVoltage_V,"3.6",V,DATASHEET,2,""
Cell,P.NominalEnergy_Wh,"18",W*hr,DATASHEET,2,"Nominal voltage x typical capacity."
Cell,P.MinVoltage_V,"2.5",V,DATASHEET,2,"Discharge cut-off voltage."
Cell,P.MaxVoltage_V,"4.2",V,DATASHEET,2,"Charge termination voltage."
Cell,P.MaxContinuousCurrent_A,"60",A,DATASHEET,2,"12 C continuous discharge, 70 degC cell cut-off."
Cell,P.MaxChargeCurrent_A,"25",A,DATASHEET,2,"5 C fast charge."
Cell,P.Mass_kg,"0.07",kg,DATASHEET,2,"Published values range 68-71 g. Weigh a sample lot."
Cell,P.Height_m,"0.07015",m,DATASHEET,2,"Maximum envelope height incl. terminal cap."
Cell,P.Diameter_m,"0.02155",m,DATASHEET,2,"Maximum envelope diameter incl. shrink wrap."
Cell,P.DCIR_Ohm,"0.0128",Ohm,DATASHEET,2,"Nominal DCIR at 50% SOC, 25 degC. Reference point for the P50B_DCIR(SOC,T) surface."
Cell,P.Capacity_Ah,"5",A*hr,DATASHEET,2,"Typical capacity. Minimum rated is 4.85 Ah."
Cell,P.CapacityMinimum_Ah,"4.85",A*hr,DATASHEET,2,"Guaranteed minimum. Use for worst-case range."
Cell,P.ACImpedance1kHz_Ohm,"0.0065",Ohm,DATASHEET,2,"1 kHz screening value. DO NOT use for loss calcs."
Auxiliary,P.TrimPump_DriverRating_A,"40",A,DATASHEET,2,"Datasheet: H-bridge, 12 V, 40 A max."
Auxiliary,P.TrimAngleMin_deg,"-5",deg,DATASHEET,2,""
Auxiliary,P.TrimAngleMax_deg,"30",deg,DATASHEET,2,""
Auxiliary,P.SteeringPump_DriverRating_A,"40",A,DATASHEET,2,"Datasheet: rudder pump H-bridge, 12 V, 40 A max."
Auxiliary,P.SteeringAngleMin_deg,"-40",deg,DATASHEET,2,""
Auxiliary,P.SteeringAngleMax_deg,"40",deg,DATASHEET,2,""
Auxiliary,P.DCDC_RatedPower_W,"1000",W,DATASHEET,2,"Competr datasheet: 'Aux DC/DC 12V 1kW, available to power on-board low voltage systems'."
Auxiliary,P.DCDC_OutputVoltage_V,"12",V,DATASHEET,2,""
Auxiliary,P.CoolingPump_DriverRating_A,"15",A,DATASHEET,2,"Datasheet: low-side driver, 12 V, 15 A max."
Auxiliary,P.ControlUnit_SupplyVoltage_V,"12",V,DATASHEET,2,""
Auxiliary,P.BilgePump_DriverRating_A,"15",A,DATASHEET,2,"Datasheet: low-side driver, 12 V, 15 A max, with bilge sensor through GPIO."
