Req,Title,Status,Finding,Action
ENERGY_REQ_27,"Container ventilation blows away from the pilot",CHECKLIST,"Physical or procedural. Not derivable from the model.","Verify on the build before technical inspection."
ENERGY_REQ_24,"Energy source securely fixed onboard",CHECKLIST,"Physical or procedural. Not derivable from the model.","Verify on the build before technical inspection."
ENERGY_REQ_155,"Container overpressure valve, certified and sized, facing aft",CHECKLIST,"Physical or procedural. Not derivable from the model.","Verify on the build before technical inspection."
ENERGY_REQ_56,"Fire extinguisher port on the port side of the container",CHECKLIST,"Physical or procedural. Not derivable from the model.","Verify on the build before technical inspection."
ENERGY_REQ_189,"External charging interface, no need to open the container",CHECKLIST,"Physical or procedural. Not derivable from the model.","Verify on the build before technical inspection."
ENERGY_REQ_171,"W026 lithium battery symbol, at least 10 cm",CHECKLIST,"Physical or procedural. Not derivable from the model.","Verify on the build before technical inspection."
ENERGY_REQ_172,"Battery capacity marked, letters at least 2 cm",CHECKLIST,"Physical or procedural. Not derivable from the model.","Verify on the build before technical inspection."
ENERGY_REQ_173,"Battery composition marked, letters at least 2 cm",CHECKLIST,"Physical or procedural. Not derivable from the model.","Verify on the build before technical inspection."
ENERGY_REQ_50,"Bulkhead isolating propulsion and energy from the pilot",CHECKLIST,"Physical or procedural. Not derivable from the model.","Verify on the build before technical inspection."
ENERGY_REQ_51,"Bulkhead at least A1 fire resistant (Euroclass)",CHECKLIST,"Physical or procedural. Not derivable from the model.","Verify on the build before technical inspection."
ENERGY_REQ_52,"Bulkhead protects the pilot from an energy storage explosion",CHECKLIST,"Physical or procedural. Not derivable from the model.","Verify on the build before technical inspection."
ENERGY_REQ_55,"Cable pass-throughs fitted with grommets",CHECKLIST,"Physical or procedural. Not derivable from the model.","Verify on the build before technical inspection."
ENERGY_REQ_60,"No live part touchable with a 6 mm probe",CHECKLIST,"Physical or procedural. Not derivable from the model.","Verify on the build before technical inspection."
ENERGY_REQ_61,"All wiring outside the enclosure is orange",CHECKLIST,"Physical or procedural. Not derivable from the model.","Verify on the build before technical inspection."
ENERGY_REQ_62,"Electronics in an IP56 watertight, cooled compartment",CHECKLIST,"Physical or procedural. Not derivable from the model.","Verify on the build before technical inspection."
ENERGY_REQ_63,"Circuits above 15 V DC at least IP2X, busbars included",CHECKLIST,"Physical or procedural. Not derivable from the model.","Verify on the build before technical inspection."
ENERGY_REQ_70,"Kill cord fitted",CHECKLIST,"Physical or procedural. Not derivable from the model.","Verify on the build before technical inspection."
ENERGY_REQ_71,"Kill cord cuts engine power in under 1 second",CHECKLIST,"Physical or procedural. Not derivable from the model.","Verify on the build before technical inspection."
ENERGY_REQ_75,"Emergency stop mushroom button fitted",CHECKLIST,"Physical or procedural. Not derivable from the model.","Verify on the build before technical inspection."
ENERGY_REQ_79,"Emergency stop isolates all power sources, hardware not software",CHECKLIST,"Physical or procedural. Not derivable from the model.","Verify on the build before technical inspection."
ENERGY_REQ_81,"Emergency stop on the starboard side, in front of the pilot",CHECKLIST,"Physical or procedural. Not derivable from the model.","Verify on the build before technical inspection."
ENERGY_REQ_184,"Organiser power interface, 10-28 V, 30 W, specified Amphenol connector",CHECKLIST,"Physical or procedural. Not derivable from the model.","Verify on the build before technical inspection."
ENERGY_REQ_185,"Free 190 x 150 x 122 mm volume for the organiser monitoring device, open to sky",CHECKLIST,"Physical or procedural. Not derivable from the model.","Verify on the build before technical inspection."
ENERGY_REQ_181,"ESC input power wired to accept the organiser sensing device",CHECKLIST,"Physical or procedural. Not derivable from the model.","Verify on the build before technical inspection."
ENERGY_REQ_32,"Boat moves and manoeuvres in forward and reverse",CHECKLIST,"Physical or procedural. Not derivable from the model.","Verify on the build before technical inspection."
ENERGY_REQ_37,"Boat reaches at least 3 knots",CHECKLIST,"Physical or procedural. Not derivable from the model.","Verify on the build before technical inspection."
ENERGY_REQ_44,"Pilot can evacuate within 5 seconds unaided",CHECKLIST,"Physical or procedural. Not derivable from the model.","Verify on the build before technical inspection."
ENERGY_REQ_106,"ABC fire extinguisher, at least 1 kg, approved",CHECKLIST,"Physical or procedural. Not derivable from the model.","Verify on the build before technical inspection."
